tag_id,timestamp_utc,value,unit,quality,exported_at_utc
CG-MBK.P-101.RUN_HRS,2026-09-04T08:00:00Z,63246.0,h,GOOD,2026-09-05T01:30:00Z
GA-OLW.K-101B.RUN_HRS,2026-09-04T08:00:00Z,172003.0,h,GOOD,2026-09-05T01:30:00Z
GA-OLW.K-101A.RUN_HRS,2026-09-03T16:00:00Z,185496.0,h,GOOD,2026-09-05T01:30:00Z
GA-OLW.P-999.RUN_HRS,2026-09-04T23:00:00Z,119.0,h,GOOD,2026-09-05T01:30:00Z
CG-MBK.P-101.RUN_HRS,2026-09-03T18:00:00Z,63239.0,h,GOOD,2026-09-05T01:30:00Z
GA-OLW.P-777.RUN_HRS,2026-09-04T22:00:00Z,33010.6,h,GOOD,2026-09-05T01:30:00Z
GA-OLW.K-101B.RUN_HRS,2026-09-03T22:00:00Z,172003.0,h,GOOD,2026-09-05T01:30:00Z
GA-JNR.G-401.RUN_HRS,2026-09-04T16:00:00Z,210640.0,h,GOOD,2026-09-05T01:30:00Z
GA-OLW.P-301A.RUN_HRS,2026-09-04T09:00:00Z,98863.0,h,GOOD,2026-09-05T01:30:00Z
GA-OLW.P-999.RUN_HRS,2026-09-04T21:00:00Z,117.0,h,GOOD,2026-09-05T01:30:00Z
GA-JNR.G-401.RUN_HRS,2026-09-04T13:00:00Z,210637.0,h,GOOD,2026-09-05T01:30:00Z
CG-MBK.P-101.RUN_HRS,2026-09-03T20:00:00Z,63240.0,h,GOOD,2026-09-05T01:30:00Z
GA-OLW.K-101B.RUN_HRS,2026-09-05T00:00:00Z,172003.0,h,GOOD,2026-09-05T01:30:00Z
GA-OLW.P-301B.RUN_HRS,2026-09-03T16:00:00Z,2464680.0,min,GOOD,2026-09-05T01:30:00Z
GA-OLW.P-301B.RUN_HRS,2026-09-03T18:00:00Z,2464800.0,min,GOOD,2026-09-05T01:30:00Z
GA-OLW.K-101B.RUN_HRS,2026-09-03T21:00:00Z,172003.0,h,GOOD,2026-09-05T01:30:00Z
GA-JNR.PG.RUN_HRS,2026-09-04T20:00:00Z,415208.0,h,GOOD,2026-09-05T01:30:00Z
GA-OLW.P-999.RUN_HRS,2026-09-04T00:00:00Z,96.0,h,GOOD,2026-09-05T01:30:00Z
GA-JNR.PG.RUN_HRS,2026-09-04T18:00:00Z,415204.0,h,GOOD,2026-09-05T01:30:00Z
GA-JNR.K-101.RUN_HRS,2026-09-03T19:00:00Z,149979.0,h,GOOD,2026-09-05T01:30:00Z
GA-JNR.PRESS-2001.PV,2026-09-03T22:00:00Z,13.2,barg,GOOD,2026-09-05T01:30:00Z
CG-MBK.P-101.RUN_HRS,2026-09-05T01:00:00Z,63254.5,h,GOOD,2026-09-05T01:30:00Z
GA-JNR.K-101.RUN_HRS,2026-09-04T06:00:00Z,149990.0,h,GOOD,2026-09-05T01:30:00Z
GA-OLW.P-301A.RUN_HRS,2026-09-04T15:00:00Z,5.0,h,GOOD,2026-09-05T01:30:00Z
